Rank,Player ID,Car,Total Points,Avg Rank,Finishes,Wins
1,6,Car 06,151,4.0,7,4
2,9,Car 09,137,4.5,8,2
3,3,Car 03,125,5.25,9,1
4,5,Car 05,106,6.0,8,1
5,7,Car 07,87,6.416666666666667,7,1
6,1,Car 01,85,6.416666666666667,7,1
7,10,Car 10,55,8.25,8,0
8,11,Car 11,54,8.166666666666666,7,0
9,4,Car 04,48,7.5,3,0
10,12,Car 12,45,7.75,7,0
11,2,Car 02,43,6.916666666666667,3,0
12,8,Car 08,40,6.833333333333333,2,2
